Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Андижанское  вдхр.,,2022-04-06,приток,сред.,238.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-06,попуск,сред.,65.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-06,объем,сред.,1109.0,млн м³,вегетация
г/п Учтепа,,2022-04-06,расход,сред.,136.0,м³/с,вегетация
г/п Каль,,2022-04-06,расход,сред.,268.0,м³/с,вегетация
г/п Каль,,2022-04-06,расход,утро,258.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-06,расход,сред.,318.64,м³/с,вегетация
г/п Кокбулак,,2022-04-06,расход,сред.,693.0,м³/с,вегетация
г/п Келес,,2022-04-06,расход,сред.,37.8,м³/с,вегетация
Токтогульское вдхр.,,2022-04-07,приток,сред.,269.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-07,попуск,сред.,135.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-07,объем,сред.,7910.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-07,Сброс,сред.,277.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-07,приток,сред.,386.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-07,приток,утро,391.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-07,попуск,сред.,100.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-07,попуск,утро,100.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-07,расход,сред.,96.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-07,расход,утро,96.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-07,объем,сред.,3384.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-07,приток,сред.,592.1,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-07,приток,сред.,430.1,м³/с,вегетация
Шардаринское вдхр.,,2022-04-07,попуск,сред.,431.0,м³/с,вегетация
Кызылкумский канал,,2022-04-07,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-07,объем,сред.,5059.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-07,приток,сред.,198.0,м³/с,вегетация
река Угам,,2022-04-07,расход,сред.,49.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-07,попуск,сред.,57.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-07,расход,сред.,107.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-07,объем,сред.,701.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-07,приток,сред.,261.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-07,попуск,сред.,80.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-07,объем,сред.,1125.0,млн м³,вегетация
г/п Учтепа,,2022-04-07,расход,сред.,146.0,м³/с,вегетация
г/п Каль,,2022-04-07,расход,сред.,278.0,м³/с,вегетация
г/п Каль,,2022-04-07,расход,утро,263.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-07,расход,сред.,318.32,м³/с,вегетация
г/п Кокбулак,,2022-04-07,расход,сред.,599.0,м³/с,вегетация
г/п Келес,,2022-04-07,расход,сред.,40.7,м³/с,вегетация
